LIGAND INFORMATION,,,,,IN VITRO ASSAYS,,,,,,,,,CELL-BASED ASSAYS,,,,,,,,ANIMAL MODELS,,,,,,,,,,,,,,
#,Previous ID #,SMILES,Name,DOI/PMC,Control,Assay Target(s) ,Observation,Ligand Concentration,Buffer,Category,Assay,Method/Notes,Control/Validation,Control,Cell Line,Observation,Concentration,Category,Assay,Method Notes,Control/Validation,Control,Organism,Observation,Administration/Concentration,Category,Assay,Method/Notes,Control/Validation,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,,pri-miR-515,Inhibited ~80% of processing,Ligand = 1 µM,"6.4 mM MgCl2, 20 mM Tris HCl (pH = 8.0), 100 mM KCl, and 0.2 mM EDTA",Activity,Drosha inhibition,Pri-miR-515 was 5'-end labeled with 32P,"Compared to untreated full length pri-miR-515, RNase T1, base hydrolysis, cell lysate not transfected with Drosha, and an RNA marker that is 46 nucleotides in length",,MCF-7 Cells,Affected levels of miR-515-5p to the greatest extent; Did not affect levels of structurally similar RNAs containing the motifs found in the Drosha sites of miR-885 and miR-515,Ligand = 0.5 µM,RNA Abundance,RT-qPCR,Tested all miRNAs expressed at measurable level; Cells were treated for 48 hours; 515-VM is a vivo-morpholino antisense oligonucleotide that targets miR-515-5p,"Compared to untreated cells; 515-VM (10 µM) affected levels of miR-515-5p to the greatest extent but also significantly affected levels of miR-525-5p, miR-23b-5p, and miR-200b-3p; showed by isothermal titration calorimetry that off-target binding events of 515-VM are traced to binding to miRNAs without perfect complementarity ",,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,,pri-miR-515,Significantly competed off binding of Targaprimir-515/885-CA-Biotin to pri-miR-515,"Ligand = 0.5, 5, and 50 µM, Targaprimir-515/885-CA-Biotin = 0.5 µM",DMEM growth medium,On-Target Effect,Competitive Chem-CLIP,"Targaprimir-515/885-CA-Biotin is a derivative of Targaprimir-515/885 that contains purification (biotin) and cross-linking (chlorambucil) modules. RNA is 32P 5'-end labelled. Approximately 10,000 counts of labelled RNA was folded in growth medium. Streptavidin-agarose beads suspended in 1X PBS were added, incubated, and then washed. The amount of unbound RNA was quantified using a liquid scintillation counter","Validated Targaprimir-515/885-CA-Biotin pulls down pri-miR-515 and pri-miR-885 selectively over Control-CA-Biotin, which lacks the RNA-binding module",,MCF-7 Cells,~1.8-fold (0.5 µM) and ~2.5-fold (5 µM) increase in SK1 levels ,Ligand = 0.5 and 5 µM,Protein Abundance,Western blot,"Tested sphingosine kinase 1 (SK1), a protein repressed by miR-515; Cells were treated for 48 hours",Compared to untreated cells; Protein levels normalized to beta-actin loading control,,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,C,pri-miR-885,Did not significantly compete off binding of Targaprimir-515/885-CA-Biotin to pri-miR-885,"Ligand = 0.5, 5, and 50 µM, Targaprimir-515/885-CA-Biotin = 0.5 µM",DMEM growth medium,Off-Target Effect,Competitive Chem-CLIP,"Targaprimir-515/885-CA-Biotin is a derivative of Targaprimir-515/885 that contains purification (biotin) and cross-linking (chlorambucil) modules. RNA is 32P 5'-end labelled. Approximately 10,000 counts of labelled RNA was folded in growth medium. Streptavidin-agarose beads suspended in 1X PBS were added, incubated, and then washed. The amount of unbound RNA was quantified using a liquid scintillation counter","Validated Targaprimir-515/885-CA-Biotin pulls down pri-miR-515 and pri-miR-885 selectively over Control-CA-Biotin, which lacks the RNA-binding module",,MCF-7 Cells,Enhanced levels of S1P by ~4-fold,Ligand = 0.5 µM,Protein Abundance,ELISA,"Tested S1P, whose biosynthesis is catalyzed by SK1 protein ",Compared to cells treated with DMSO; Plasmid overexpression of SK1 enhanced S1P levels by ~5-fold,,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,,,,,,,,,,,MCF-7 Cells,Enhanced migration by ~2.5-fold,Ligand = 0.5 µM,Cell Migration,Trans-well,Cells were treated for 8 hours; Percentage of cells migrated was measured by staining with crystal violet staining and comparing stained to unstained cells,"Compared to cells treated with DMSO; siRNA targeting SK1 mRNA and SKI-178 (1 µM), a selective SK1 inhibitor, ablated the enhanced migration by Targaprimir-515 ",,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,,,,,,,,,,,MDA-MB-231 Cells,Increased migration,Ligand = 0.5 µM,Cell Migration,Trans-well,Cells were treated for 16 hours; Percentage of cells migrated was measured by staining with crystal violet and comparing stained to unstained cells,Compared to cells treated with DMSO,,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,,,,,,,,,,C,MCF-7 Cells,No effect on SK2 levels ,Ligand = 0.5 µM,Protein Abundance,Western blot,"Tested for SK2, which has significant homology to SK1 and also functions to modulate the S1P pathway; Cells were treated for 48 hours",Compared to cells treated with DMSO; Beta-actin loading control; No effect on SK2 levels observed with SK1-targeted siRNA transfection or cells that were mock transfected,,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,,,,,,,,,,,MCF-7 Cells,~1.5-fold increased expression of FZD5 at 5 µM compound,Ligand = 0.5 and 5 µM,Protein Abundance,Western blot,"FZD5 is frizzled class 5 receptor, involved in the Wnt signaling pathway and enhances cell proliferation and migration in cancer cells; Cells were treated for 48 hours",Compared to untreated cells; Beta-actin loading control; FZD5 is expressed at detectable levels (RT-qPCR),,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,,,,,,,,,,C,MCF-7 Cells,No change in expression level,Ligand = 0.5 µM,RNA Abundance,RT-qPCR,Cells were transfected with inducible pri-miR-515 plasmid,Compared to untreated cells; miR-497 levels remain unchanged with and without doxycycline treatment,,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,,,,,,,,,,,MCF-7 Cells,Increased proliferation,Ligand = 0.5 and 5 µM,Proliferation,CellTiter Glo,Cells treated for 24 hours,Compared to untreated cells; Co-treatment with FZD5 siRNA ablates cellular proliferation,,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,,,,,,,,,,,MCF-7 Cells,Increased migration,Ligand = 0.5 µM,Cell Migration,Trans-well,Cells were treated for 16 hours; Percentage of cells migrated was measured by staining with crystal violet and comparing stained to unstained cells,Compared to cells treated with DMSO and a control siRNA; Co-treatment with FZD5 siRNA ablates cell migration,,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,,,,,,,,,,,MCF-7 Cells,"~1.2 and ~1.4-fold increase in SK1 expression at 0.5 and 1 µM, respectively",Ligand = 0.5 and 1 µM,Global Protein Abundance,LC-MS/MS,Newly synthesized proteins were analyzed using incorporation of homopropargyl-glycine and subsequent click-conjugation to biotin azide and enrichment with streptavidin; Cells were treated for 48 hours,Compared to cells treated with DMSO,,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,,,,,,,,,,,MCF-7 Cells,180 proteins (4%) with upregulated expression (>50% increase); ~4-fold increase in HER2 expression; SK2 was not observed,Ligand = 1 µM,Global Protein Abundance,LC-MS/MS,Newly synthesized proteins were analyzed using incorporation of homopropargyl-glycine and subsequent click-conjugation to biotin azide and enrichment with streptavidin; Cells were treated for 48 hours,Compared to cells treated with DMSO,,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,,,,,,,,,,,MCF-7 Cells,"99.7% of genes (17992/18044) were not significantly affected by compound treatment; Fold change of HER2 and SK1 increased by 6% and 17%, respectively",Ligand = 1 µM,Global RNA Abundance,RNA-Seq,Cells were treated for 24 hours,Compared to untreated cells,,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,,,,,,,,,,,MCF-7 Cells,1.7-fold increase in HER2 levels,Ligand = 1 µM,Protein Abundance,ELISA,Cells were treated for 48 hours,"Compared to untreated cells; 515-VM (Anti-515-5p Vivo-morpholino antisense oligonucleotide, 5 µM) also increased HER2 levels while SCR-VM (scrambled control Vivo-morpholino antisense oligonucleotide, 5 µM) did not",,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,,,,,,,,,,,MCF-7 Cells,1.6-fold increase in HER2 levels,Ligand = 1 µM,Protein Abundance,Flow cytometry,APC-linked HER2 antibody,Compared to untreated cells,,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,,,,,,,,,,,MCF-7 Cells,Sensitizes cells to Herceptin-mediated loss of cell viability in a dose-dependent manner,"Ligand = 1 µM; Herceptin = 2, 20, and 200 nM",Cytotoxicity,CellTiter Glo,"Cells were treated with Targaprimir-515 for 24 hours, followed by 48 hour treatment of Herceptin",Compared to untreated cells,,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,,,,,,,,,,,MCF-7 Cells,Did not enhance migration when pri-miR-515 was overexpressed,Ligand = 1 µM,Cell Migration,Trans-well,Cells were transfected with doxycycline inducible pri-miR-515 plasmid,Compared to non-induced cells,,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,,,,,,,,,,,MCF-7 Cells,Only sensitizes cells expressing endogenous levels of pri-miR-515 to Herceptin treatment,"Ligand = 1 µM, Herceptin = 20 nM",Cytotoxicity,CellTiter Glo,Cells were transfected with doxycycline inducible pri-miR-515 plasmid,Compared to untreated cells; Forced overexpression of miR-515 ablated Herceptin sensitivity in the presence of doxycycline but not it its absence,,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,,,,,,,,,,,MCF-7 Cells,Sensitizes cells to Kadcyla,"Ligand = 1 µM, Kadcyla = 1, 10, and 100 nM",Cytotoxicity,CellTiter Glo,"Cells were treated with Targaprimir-515 for 24 hours, followed by 48 hour treatment of Kadcyla (antibody drug conjugate of Herceptin and emtansine)",Compared to untreated cells; Cells treated with DMSO did not sensitize cells to Kadcyla,,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,,,,,,,,,,,MCF-7 Cells,Increased apoptotic activity with co-treatment of Kadcyla (10 nM),"Ligand = 1 µM, Kadcyla = 1, 10, and 100 nM",Apoptosis,Caspase-Glo,Measured Caspase 3/7 activity,Compared to untreated cells; Cells treated with DMSO and Kadcyla (antibody drug conjugate of Herceptin and emtansine) had no change in apoptotic activity,,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,,,,,,,,,,,MCF-7 Cells,Co-treatment with SKI-178 or siRNA ablated Targaprimir-515 sensitizing effect,Ligand = 1 µM,Cytotoxicity,CellTiter Glo,SKI-178 is an inhibitor of SK1; 515-VM is a vivo-morpholino antisense oligonucleotide that binds miR-515-5p; SCR-VM is a scrambled vivo-morpholino antisense oligonucleotide  ,Compared to untreated cells; Treatment with 515-VM  (5 µM) sensitized cells to Herceptin while SCR-VM (5 µM) did not; Scrambled siRNA did not ablate Herceptin sensitivity,,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,,,,,,,,,,C,MCF-10A Cells,Did not sensitize cells to Herceptin,"Ligand = NR, Herceptin = NR",Cytotoxicity,CellTiter Glo,"Cells do not express miR-515 at appreciable levels; Cells were treated with Targaprimir-515, 515-VM (Anti-515-5p Vivo-morpholino antisense oligonucleotide) or SCR-VM (scrambled control Vivo-morpholino antisense oligonucleotide) for 24 h, followed by Herceptin treatment for 48 h",Compared to untreated cells; Cells treated with 515-VM or SCRM-VM did not sensitize cells to Herceptin,,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,,,,,,,,,,,MDA-MB-231 Cells,Sensitized cells to Kadcyla,"Ligand = 8 µM, Kadcyla = 200 nM",Cytotoxicity,CellTiter Glo,"Cells were treated with Targaprimir-515 for 24 hours, followed by 48 hour treatment of Kadcyla (antibody drug conjugate of Herceptin and emtansine)",Compared to untreated cells; SK1 inhibitor SKI-178 (1 µM) does not sensitize cells to Kadcyla;  Co-treatment of Targaprimir-515 with SKI-178 decreases sensitivity to Kadcyla,,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,,,,,,,,,,,HepG2 Cells,Sensitized cells to Kadcyla,"Ligand = 1 µM, Kadcyla = 200 nM",Cytotoxicity,CellTiter Glo,"Cells were treated with Targaprimir-515 for 24 hours, followed by 48 hour treatment of Kadcyla (antibody drug conjugate of Herceptin and emtansine)",Compared to untreated cells; SK1 inhibitor SKI-178 (1 µM) does not sensitize cells to Kadcyla; Co-treatment of Targaprimir-515 with SKI-178 decreases sensitivity to Kadcyla,,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,,,,,,,,,,,MCF-7 Cells,Increased translational activity,Ligand = 1 and 5 µM,Translational Activity,Dual luciferase,Cells were transiently transfected with firefly/Renilla Duo Luciferase reporter vector encoding the 3' untranslated region of SK1 that contains the miR-515-5p binding site; Cells were treated for 48 hours,"Compared to cells transfected with control vector; Treatment with 515-VM (Anti-515-5p Vivo-morpholino antisense oligonucleotide, 5 µM) increased activity; Treatment with SCR-VM (scrambled control Vivo-morpholino antisense oligonucleotide, 5 µM) did not alter activity",,,,,,,,,,,,,,,
